,,,,계,,관광,,상용,,공용,,유학연수,,기타
년,월,대륙,국적,인원수,구성비(%),인원수,구성비(%),인원수,구성비(%),인원수,구성비(%),인원수,구성비(%),인원수,구성비(%)
"1995","01","아시아","중국","11,797","4.52","1,394","0.83","1,471","11.55","93","4.27","13","2.50","8,826","11.30"
"1995","01","아시아","일본","112,902","43.29","104,359","62.38","5,657","44.40","127","5.83","288","55.49","2,471","3.16"
"1995","01","아시아","대만","11,792","4.52","10,990","6.57","16","0.13","14","0.64","7","1.35","765","0.98"
"1995","01","아시아","홍콩","10,721","4.11","10,209","6.10","35","0.27","0","0.00","0","0.00","477","0.61"
"1995","01","아시아","필리핀","11,749","4.50","1,313","0.78","156","1.22","44","2.02","4","0.77","10,232","13.10"
"1995","01","아시아","인도네시아","2,244","0.86","911","0.54","24","0.19","14","0.64","5","0.96","1,290","1.65"
"1995","01","아시아","태국","5,287","2.03","2,296","1.37","10","0.08","10","0.46","1","0.19","2,970","3.80"
"1995","01","아시아","베트남","985","0.38","174","0.10","84","0.66","2","0.09","0","0.00","725","0.93"
"1995","01","아시아","인도","2,444","0.94","470","0.28","301","2.36","8","0.37","1","0.19","1,664","2.13"
"1995","01","아시아","말레이시아","2,024","0.78","989","0.59","13","0.10","1","0.05","10","1.93","1,011","1.29"
"1995","01","아시아","싱가포르","2,654","1.02","1,487","0.89","21","0.16","8","0.37","2","0.39","1,136","1.45"
"1995","01","아시아","몽골","390","0.15","347","0.21","30","0.24","11","0.50","2","0.39","0","0.00"
"1995","01","아시아","우즈베키스탄","111","0.04","47","0.03","2","0.02","0","0.00","0","0.00","62","0.08"
"1995","01","아시아","미얀마","1,235","0.47","69","0.04","9","0.07","0","0.00","0","0.00","1,157","1.48"
"1995","01","아시아","GCC","86","0.03","66","0.04","7","0.05","3","0.14","0","0.00","10","0.01"
"1995","01","아시아","카자흐스탄","289","0.11","174","0.10","1","0.01","0","0.00","1","0.19","113","0.14"
"1995","01","아시아","터키","380","0.15","78","0.05","1","0.01","1","0.05","0","0.00","300","0.38"
"1995","01","아시아","캄보디아","1","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"1995","01","아시아","스리랑카","188","0.07","51","0.03","19","0.15","1","0.05","1","0.19","116","0.15"
"1995","01","아시아","방글라데시","304","0.12","90","0.05","24","0.19","0","0.00","0","0.00","190","0.24"
"1995","01","아시아","파키스탄","525","0.20","196","0.12","11","0.09","9","0.41","2","0.39","307","0.39"
"1995","01","아시아","이스라엘","320","0.12","175","0.10","4","0.03","0","0.00","0","0.00","141","0.18"
"1995","01","아시아","이란","255","0.10","73","0.04","105","0.82","2","0.09","0","0.00","75","0.10"
"1995","01","아시아","아시아 기타","280","0.11","135","0.08","29","0.23","1","0.05","2","0.39","113","0.14"
"1995","01","아시아 소계","","178,963","68.61","136,094","81.34","8,030","63.03","349","16.01","339","65.32","34,151","43.73"
"1995","01","아메리카","미국","23,081","8.85","14,128","8.44","3,087","24.23","1,722","78.99","109","21.00","4,035","5.17"
"1995","01","아메리카","캐나다","2,339","0.90","1,754","1.05","66","0.52","10","0.46","10","1.93","499","0.64"
"1995","01","아메리카","브라질","634","0.24","452","0.27","6","0.05","2","0.09","0","0.00","174","0.22"
"1995","01","아메리카","멕시코","171","0.07","96","0.06","0","0.00","4","0.18","0","0.00","71","0.09"
"1995","01","아메리카","아메리카 기타","773","0.30","569","0.34","21","0.16","2","0.09","2","0.39","179","0.23"
"1995","01","아메리카 소계","","26,998","10.35","16,999","10.16","3,180","24.96","1,740","79.82","121","23.31","4,958","6.35"
"1995","01","유럽","러시아","10,438","4.00","2,604","1.56","537","4.22","3","0.14","11","2.12","7,283","9.33"
"1995","01","유럽","영국","3,096","1.19","2,186","1.31","200","1.57","3","0.14","6","1.16","701","0.90"
"1995","01","유럽","독일","2,845","1.09","1,805","1.08","209","1.64","26","1.19","10","1.93","795","1.02"
"1995","01","유럽","프랑스","1,474","0.57","1,061","0.63","118","0.93","15","0.69","2","0.39","278","0.36"
"1995","01","유럽","이탈리아","778","0.30","660","0.39","22","0.17","5","0.23","0","0.00","91","0.12"
"1995","01","유럽","네덜란드","998","0.38","571","0.34","25","0.20","2","0.09","1","0.19","399","0.51"
"1995","01","유럽","우크라이나","496","0.19","57","0.03","3","0.02","0","0.00","0","0.00","436","0.56"
"1995","01","유럽","스페인","234","0.09","161","0.10","5","0.04","1","0.05","0","0.00","67","0.09"
"1995","01","유럽","루마니아","62","0.02","7","0.00","16","0.13","4","0.18","0","0.00","35","0.04"
"1995","01","유럽","노르웨이","457","0.18","186","0.11","24","0.19","0","0.00","1","0.19","246","0.32"
"1995","01","유럽","스웨덴","476","0.18","342","0.20","21","0.16","4","0.18","5","0.96","104","0.13"
"1995","01","유럽","폴란드","1,874","0.72","1,239","0.74","3","0.02","1","0.05","0","0.00","631","0.81"
"1995","01","유럽","스위스","369","0.14","323","0.19","23","0.18","0","0.00","0","0.00","23","0.03"
"1995","01","유럽","포르투갈","333","0.13","301","0.18","0","0.00","0","0.00","0","0.00","32","0.04"
"1995","01","유럽","오스트리아","291","0.11","204","0.12","11","0.09","2","0.09","0","0.00","74","0.09"
"1995","01","유럽","핀란드","217","0.08","193","0.12","8","0.06","0","0.00","1","0.19","15","0.02"
"1995","01","유럽","벨기에","203","0.08","154","0.09","20","0.16","3","0.14","1","0.19","25","0.03"
"1995","01","유럽","크로아티아","312","0.12","36","0.02","3","0.02","0","0.00","0","0.00","273","0.35"
"1995","01","유럽","그리스","1,010","0.39","214","0.13","5","0.04","0","0.00","0","0.00","791","1.01"
"1995","01","유럽","불가리아","303","0.12","22","0.01","2","0.02","3","0.14","1","0.19","275","0.35"
"1995","01","유럽","덴마크","372","0.14","206","0.12","40","0.31","0","0.00","1","0.19","125","0.16"
"1995","01","유럽","아일랜드","126","0.05","97","0.06","1","0.01","0","0.00","0","0.00","28","0.04"
"1995","01","유럽","유럽 기타","301","0.12","100","0.06","16","0.13","1","0.05","1","0.19","183","0.23"
"1995","01","유럽 소계","","27,065","10.38","12,729","7.61","1,312","10.30","73","3.35","41","7.90","12,910","16.53"
"1995","01","오세아니아","오스트레일리아","1,622","0.62","1,023","0.61","109","0.86","10","0.46","13","2.50","467","0.60"
